D001|Main|Trout|Trofte|Пастрмка|Fresh Trout with Chimichurri|Troftë e Freskët me Chimichurri|Свежа пастрмка со чимичури|trout, chimichurri, mixed greens|fish|15
D002|Appetizers|Tempura Shrimps|Karkaleca Tempura|Темпура шкампи|Shrimps coated with tempura and Deep Fried|Karkaleca deti të mbuluar me tempura dhe të skuqur thellë|Шкампи обложени со темпура и длабоко пржени|shrimps, tempura coating, sweet-chili sauce|eggs, crustaceans, gluten|12
D003|Appetizers|Beef Tartare with Crispy Potatoes|Tartar viçi me patate krokante|Тартар од говедско со крцкави компири|Finely chopped premium beef, delicately seasoned to enhance its natural flavor, served with crispy golden potatoes.|Mish viçi premium i grirë hollë, i erëzuar me delikatesë për të theksuar shijen e tij natyrale, i shoqëruar me patate të arta krokante.|Ситно сецкано премиум говедско месо, деликатно зачинето за да се истакне неговиот природен вкус, послужено со крцкави златни компири.|beef, potatoes, egg yolk, mustard, capers, olive oil|eggs, mustard|15.5
D004|Appetizers|Shopska Salad|Sallatë shopska|Шопска салата|Traditional salad with tomatoes, cucumber, fresh peppers, onion and white cheese.|Sallatë tradicionale me domate, kastravec, speca të freskët, qepë dhe djathë të bardhë.|Традиционална салата со домати, краставица, пиперки, кромид и сирење.|tomatoes, cucumber, peppers, onion, white cheese, olive oil|dairy|5.5
D005|Appetizers|Beetroot Risotto with Goat Cheese|Rizoto me panxhar dhe djathë dhie|Ризото со цвекло и козјо сирење|Creamy risotto with beetroot and fresh goat cheese.|Rizoto kremoze me panxhar dhe djathë dhie të freskët.|Кремасто ризото со цвекло и свежо козјо сирење.|rice, beetroot, goat cheese, butter, onion, vegetables|gluten, dairy|8.9
D006|Appetizers|Tuna Tataki|Tataki tuna|Татаки од туна|Lightly seared tuna.|Tuna e skuqur lehtë sipërfaqësisht.|Лесно запечена туна.|tuna, olive oil, sea salt|fish|14
D007|Appetizers|Black Mussels Dalmatian Buzara|Midhje të zeza buzara dalmate|Црни школки на далматинска бузара|Fresh black mussels prepared in a traditional Dalmatian style, gently cooked in a fragrant sauce of white wine, olive oil, garlic and fresh parsley.|Midhje të zeza të freskëta të përgatitura në stilin tradicional dalmat, të gatuara butësisht në një salcë aromatike me verë të bardhë, vaj ulliri, hudhër dhe majdanoz të freskët.|Свежи црни школки подготвени на традиционален далматински начин, нежно готвени во мирислив сос од бело вино, маслиново масло, лук и свеж магдонос.|black mussels, white wine, olive oil, garlic, parsley, breadcrumbs|gluten, sulphites, molluscs|10
D008|Street Food|Mushroom Croquette|Krokete me kërpudha|Крокети со печурки|Crispy croquette with mushrooms, served with Parmesan sauce.|Krokete krokante me kërpudha, të shoqëruara me salcë parmezani.|Крцкави крокети со печурки, послужени со сос од пармезан.|mushrooms, breadcrumbs, flour, eggs, parmesan, butter|gluten, eggs, dairy|5.5
D009|Main|T-Bone|T-bone|Т-бон|Premium cut of beef meat from a Black-Angus Cow|Copë cilësore mishi viçi nga raca Black Angus|Првокласно парче говедско месо од говедо од расата Блек Ангус|T-bone, micro greens|none|75
D010|Dessert|Ohrid Cake|Ohrid Tortë|Охридска Торта|Cake taken from the old traditional Ohrid recipe|Tortë e përgatitur sipas recetës së vjetër tradicionale të Ohrit|Торта подготвена според стариот традиционален охридски рецепт|walnuts, chocolate, caramel, rum|gluten, eggs, dairy, nuts|5.5
D011|Breakfast & Brunch|Gourmet Omelette|Omletë gurme|Гурмански Омлет|A fluffy omelette made of three fresh eggs, with a choice of fillings   (mozzarella, fresh mushrooms, bacon, or baby spinach),served with homemade toasted bread and seasonal vegetables|Një omletë e butë dhe me volum, e përgatitur me tre vezë të freskëta dhe me mundësi zgjedhjeje për mbushjen (mocarelë, kërpudha të freskëta, proshutë e tymosur ose spinaq e shërbyer me bukë të thekur të bërë vetë dhe perime të stinës|Воздушест омлет од три свежи јајца, со избор на додатоци  (моцарела, свежи печурки, сланина или млад спанаќ),послужен со домашен потпечен леб и сезонски зеленчук|eggs, bacon, mozzarella, mushrooms, bread|gluten, eggs, dairy|6
